order_id,food_id,booking_time,id,quantity
FFB00338,food35,2023-04-04 00:46:18.778902,ID0008,4
FFB00481,food14,2023-04-24 03:31:14.778902,ID0012,1
FFB00330,food40,2023-04-18 18:16:44.778902,ID0079,5
FFB00249,food07,2023-03-24 22:56:25.778902,ID0057,2
FFB00411,food27,2023-04-19 15:42:23.778902,ID0030,5
FFB00121,food18,2023-03-24 19:55:53.778902,ID0082,2
FFB00487,food17,2023-04-14 05:11:25.778902,ID0014,4
FFB00140,food37,2023-04-11 14:14:01.778902,ID0091,5
FFB00072,food33,2023-04-22 22:21:11.778902,ID0021,4
FFB00225,food23,2023-04-19 15:17:40.778902,ID0009,3
FFB00021,food15,2023-04-01 09:59:56.778902,ID0043,3
FFB00375,food14,2023-04-04 10:18:21.778902,ID0076,1
FFB00329,food37,2023-04-09 00:00:28.778902,ID0054,4
FFB00468,food15,2023-04-04 03:47:12.778902,ID0075,5
FFB00100,food37,2023-04-13 09:52:43.778902,ID0021,1
FFB00212,food42,2023-03-28 12:10:53.778902,ID0005,1
FFB00348,food31,2023-04-09 18:10:39.778902,ID0055,4
FFB00349,food07,2023-04-18 11:42:09.778902,ID0021,1
FFB00482,food08,2023-04-01 15:27:19.778902,ID0062,2
FFB00487,food28,2023-04-16 10:11:37.778902,ID0054,4
FFB00435,food11,2023-04-14 10:15:21.778902,ID0017,2
FFB00238,food13,2023-04-16 02:55:24.778902,ID0087,1
FFB00321,food15,2023-04-06 09:32:57.778902,ID0050,1
FFB00164,food15,2023-03-29 12:04:40.778902,ID0042,1
FFB00357,food25,2023-04-02 15:23:45.778902,ID0098,3
FFB00426,food31,2023-04-04 02:22:26.778902,ID0045,2
FFB00307,food33,2023-03-31 12:17:25.778902,ID0075,2
FFB00400,food05,2023-03-28 04:04:33.778902,ID0048,5
FFB00183,food39,2023-03-29 00:16:36.778902,ID0071,2
FFB00002,food05,2023-04-04 05:57:14.778902,ID0085,4
FFB00275,food39,2023-04-23 12:05:22.778902,ID0066,5
FFB00131,food37,2023-04-22 07:42:05.778902,ID0021,2
FFB00333,food41,2023-04-23 03:44:23.778902,ID0053,1
FFB00430,food23,2023-04-09 10:29:21.778902,ID0087,1
FFB00348,food33,2023-03-26 00:49:38.778902,ID0010,5
FFB00089,food33,2023-04-23 00:30:12.778902,ID0095,1
FFB00430,food44,2023-04-12 10:01:05.778902,ID0079,1
FFB00258,food40,2023-04-14 13:12:55.778902,ID0078,3
FFB00445,food16,2023-04-09 17:59:35.778902,ID0090,4
FFB00250,food37,2023-04-12 13:53:35.778902,ID0011,4
FFB00459,food36,2023-03-30 01:40:46.778902,ID0041,4
FFB00494,food13,2023-04-24 00:27:29.778902,ID0008,4
FFB00075,food07,2023-04-06 17:36:56.778902,ID0048,2
FFB00262,food05,2023-04-09 20:14:42.778902,ID0088,2
FFB00084,food16,2023-03-31 09:29:23.778902,ID0031,2
FFB00032,food31,2023-04-21 03:07:08.778902,ID0010,3
FFB00169,food21,2023-04-20 14:56:52.778902,ID0072,2
FFB00275,food24,2023-04-04 09:34:29.778902,ID0042,4
FFB00435,food06,2023-04-11 16:55:51.778902,ID0014,2
FFB00197,food30,2023-03-27 17:47:33.778902,ID0017,4
FFB00103,food26,2023-03-26 08:42:57.778902,ID0099,1
FFB00394,food40,2023-04-14 22:53:29.778902,ID0068,1
FFB00198,food14,2023-04-02 00:52:50.778902,ID0090,5
FFB00012,food09,2023-04-21 20:42:22.778902,ID0044,1
FFB00337,food38,2023-04-15 20:57:54.778902,ID0019,1
FFB00143,food07,2023-04-08 01:40:45.778902,ID0028,3
FFB00192,food28,2023-04-03 12:15:08.778902,ID0055,2
FFB00333,food30,2023-04-21 10:26:26.778902,ID0001,5
FFB00232,food08,2023-03-26 15:35:29.778902,ID0082,3
FFB00383,food32,2023-04-08 12:56:07.778902,ID0098,5
FFB00103,food31,2023-04-24 05:57:56.778902,ID0074,2
FFB00195,food13,2023-04-10 18:49:53.778902,ID0039,3
FFB00485,food42,2023-04-08 13:37:02.778902,ID0097,4
FFB00124,food44,2023-04-04 22:10:28.778902,ID0061,5
FFB00065,food30,2023-04-09 19:39:30.778902,ID0091,2
FFB00180,food44,2023-04-04 02:42:03.778902,ID0031,5
FFB00434,food29,2023-04-24 09:08:47.778902,ID0043,3
FFB00433,food43,2023-04-12 15:57:27.778902,ID0076,1
FFB00192,food08,2023-04-13 05:40:35.778902,ID0092,3
FFB00241,food22,2023-04-05 18:32:40.778902,ID0013,1
FFB00059,food09,2023-04-13 20:21:18.778902,ID0052,5
FFB00295,food20,2023-03-30 03:29:21.778902,ID0024,1
FFB00135,food34,2023-03-30 16:40:25.778902,ID0031,3
FFB00276,food29,2023-04-22 18:57:09.778902,ID0019,4
FFB00085,food44,2023-03-30 00:59:20.778902,ID0032,1
FFB00456,food32,2023-04-03 00:52:16.778902,ID0042,3
FFB00457,food14,2023-03-29 20:17:13.778902,ID0012,2
FFB00130,food19,2023-04-01 09:07:47.778902,ID0010,2
FFB00421,food20,2023-04-12 19:14:33.778902,ID0019,1
FFB00249,food37,2023-04-23 14:05:18.778902,ID0063,3
FFB00231,food24,2023-04-16 14:04:21.778902,ID0061,1
FFB00122,food26,2023-04-05 10:38:14.778902,ID0079,5
FFB00219,food37,2023-04-16 09:45:35.778902,ID0085,3
FFB00355,food02,2023-04-17 01:06:23.778902,ID0013,1
FFB00130,food43,2023-03-28 18:22:48.778902,ID0080,1
FFB00445,food18,2023-04-13 07:26:48.778902,ID0089,4
FFB00414,food10,2023-04-07 23:08:55.778902,ID0022,1
FFB00069,food04,2023-04-12 11:59:03.778902,ID0020,3
FFB00192,food05,2023-04-03 02:41:56.778902,ID0079,1
FFB00478,food36,2023-03-29 04:30:41.778902,ID0080,3
FFB00074,food22,2023-04-09 00:49:05.778902,ID0062,3
FFB00440,food03,2023-04-04 05:09:40.778902,ID0093,1
FFB00380,food01,2023-04-15 03:29:59.778902,ID0078,3
FFB00353,food36,2023-04-24 03:01:26.778902,ID0090,4
FFB00168,food45,2023-04-22 17:59:06.778902,ID0058,1
FFB00427,food37,2023-04-07 22:24:49.778902,ID0041,2
FFB00446,food19,2023-04-05 21:55:00.778902,ID0067,2
FFB00251,food13,2023-04-16 21:23:39.778902,ID0021,5
FFB00472,food24,2023-04-10 12:13:26.778902,ID0088,4
FFB00032,food01,2023-03-31 14:16:35.778902,ID0081,3
FFB00269,food11,2023-04-14 06:01:15.778902,ID0089,2
FFB00371,food30,2023-04-12 21:35:40.778902,ID0018,1
FFB00342,food02,2023-04-05 11:46:40.778902,ID0028,3
FFB00205,food38,2023-04-06 02:00:25.778902,ID0078,3
FFB00289,food18,2023-03-30 00:56:39.778902,ID0054,3
FFB00378,food37,2023-04-22 10:44:22.778902,ID0064,3
FFB00276,food30,2023-04-06 16:59:00.778902,ID0100,4
FFB00008,food33,2023-03-25 13:08:12.778902,ID0089,4
FFB00445,food39,2023-04-22 22:52:55.778902,ID0010,2
FFB00163,food15,2023-04-02 18:46:22.778902,ID0087,1
FFB00058,food44,2023-03-31 00:06:02.778902,ID0048,1
FFB00466,food12,2023-04-19 00:07:40.778902,ID0011,2
FFB00085,food28,2023-03-29 02:57:55.778902,ID0087,5
FFB00419,food09,2023-04-14 11:41:24.778902,ID0097,1
FFB00067,food05,2023-03-27 18:43:21.778902,ID0095,3
FFB00040,food42,2023-04-08 16:08:44.778902,ID0041,5
FFB00114,food36,2023-04-18 03:19:41.778902,ID0018,5
FFB00412,food16,2023-04-06 08:29:31.778902,ID0059,5
FFB00054,food20,2023-04-14 07:21:28.778902,ID0020,5
FFB00447,food08,2023-03-30 07:08:40.778902,ID0016,2
FFB00238,food43,2023-04-22 12:45:57.778902,ID0069,1
FFB00349,food14,2023-03-31 23:25:01.778902,ID0062,3
FFB00057,food02,2023-04-17 00:05:22.778902,ID0093,3
FFB00290,food19,2023-04-02 20:38:51.778902,ID0087,5
FFB00487,food42,2023-04-22 01:41:53.778902,ID0021,4
FFB00277,food12,2023-04-17 15:42:35.778902,ID0046,1
FFB00166,food19,2023-04-17 01:39:44.778902,ID0007,4
FFB00437,food03,2023-04-13 20:12:21.778902,ID0088,4
FFB00132,food13,2023-04-05 01:59:40.778902,ID0089,2
FFB00061,food16,2023-04-18 11:54:07.778902,ID0091,3
FFB00078,food35,2023-04-13 12:09:22.778902,ID0075,2
FFB00355,food10,2023-04-10 21:46:39.778902,ID0046,1
FFB00202,food43,2023-04-08 13:29:11.778902,ID0093,5
FFB00150,food20,2023-03-31 22:22:46.778902,ID0076,1
FFB00095,food24,2023-04-05 06:59:26.778902,ID0025,1
FFB00183,food17,2023-03-30 11:07:14.778902,ID0004,2
FFB00197,food19,2023-03-30 15:52:31.778902,ID0033,4
FFB00002,food02,2023-04-11 18:58:28.778902,ID0050,3
FFB00165,food16,2023-03-26 12:48:16.778902,ID0008,1
FFB00003,food26,2023-03-31 06:28:32.778902,ID0097,1
FFB00376,food44,2023-03-28 01:09:27.778902,ID0016,4
FFB00206,food07,2023-03-24 23:43:33.778902,ID0022,3
FFB00173,food09,2023-03-31 09:56:48.778902,ID0081,4
FFB00453,food21,2023-04-07 09:06:15.778902,ID0052,5
FFB00218,food30,2023-03-30 19:15:48.778902,ID0071,3
FFB00160,food10,2023-04-16 04:05:24.778902,ID0059,2
FFB00260,food32,2023-04-05 10:42:04.778902,ID0058,1
FFB00378,food06,2023-03-27 15:06:51.778902,ID0089,3
FFB00290,food10,2023-04-04 10:54:54.778902,ID0003,2
FFB00168,food43,2023-04-03 12:42:00.778902,ID0073,1
FFB00129,food06,2023-04-13 11:43:12.778902,ID0095,3
FFB00226,food14,2023-03-30 20:39:13.782496,ID0020,4
FFB00468,food44,2023-03-29 17:38:13.782496,ID0085,4
FFB00132,food35,2023-04-01 00:05:13.782496,ID0008,2
FFB00350,food28,2023-04-22 13:38:48.782496,ID0068,3
FFB00278,food43,2023-04-07 05:25:28.782496,ID0041,4
FFB00287,food07,2023-04-14 04:50:57.782496,ID0026,5
FFB00098,food40,2023-04-08 13:00:02.782496,ID0069,2
FFB00198,food33,2023-03-28 05:17:31.782496,ID0099,4
FFB00045,food20,2023-04-01 18:41:15.782496,ID0047,1
FFB00180,food45,2023-04-12 20:28:00.782496,ID0097,1
FFB00007,food38,2023-04-19 21:04:36.782496,ID0092,2
FFB00413,food22,2023-04-12 00:25:17.782496,ID0095,3
FFB00213,food45,2023-04-22 05:51:09.782496,ID0028,2
FFB00365,food06,2023-04-08 20:53:52.782496,ID0041,4
FFB00417,food14,2023-03-25 22:43:46.782496,ID0078,5
FFB00499,food16,2023-04-07 19:53:56.782496,ID0085,4
FFB00347,food44,2023-04-23 02:06:27.782496,ID0095,2
FFB00040,food03,2023-04-11 08:56:47.782496,ID0029,2
FFB00359,food03,2023-03-26 03:07:48.782496,ID0027,5
FFB00085,food16,2023-04-03 12:29:53.782496,ID0020,1
FFB00454,food40,2023-03-30 07:25:09.782496,ID0003,1
FFB00383,food23,2023-03-26 14:18:43.782496,ID0043,5
FFB00046,food44,2023-04-05 03:40:37.782496,ID0021,2
FFB00305,food05,2023-03-25 18:23:42.782496,ID0016,2
FFB00084,food30,2023-03-26 10:41:22.782496,ID0040,2
FFB00330,food07,2023-04-23 21:14:14.782496,ID0014,3
FFB00176,food10,2023-04-16 00:30:10.782496,ID0061,2
FFB00206,food42,2023-04-18 10:30:14.782496,ID0048,1
FFB00066,food29,2023-04-04 22:49:12.782496,ID0049,1
FFB00424,food20,2023-04-01 01:53:21.782496,ID0005,4
FFB00075,food17,2023-04-07 23:00:15.782496,ID0082,4
FFB00076,food07,2023-03-24 21:03:50.782496,ID0001,3
FFB00319,food11,2023-04-22 04:56:22.782496,ID0084,2
FFB00006,food34,2023-04-03 11:41:12.782496,ID0058,4
FFB00351,food10,2023-04-08 03:32:51.782496,ID0053,2
FFB00183,food34,2023-04-11 19:28:09.782496,ID0072,4
FFB00124,food28,2023-03-30 05:48:19.782496,ID0092,3
FFB00194,food06,2023-03-27 11:52:49.782496,ID0019,1
FFB00042,food05,2023-04-19 09:15:48.782496,ID0007,5
FFB00042,food31,2023-04-23 23:48:56.782496,ID0001,4
FFB00441,food27,2023-04-19 22:18:18.782496,ID0033,2
FFB00099,food26,2023-03-25 08:42:22.782496,ID0083,1
FFB00349,food18,2023-04-23 12:05:37.782496,ID0066,3
FFB00494,food43,2023-04-23 15:54:15.782496,ID0072,2
FFB00448,food08,2023-04-12 07:43:19.782496,ID0010,1
FFB00417,food41,2023-04-02 18:40:17.782496,ID0053,1
FFB00109,food21,2023-04-11 19:33:57.782496,ID0029,5
FFB00415,food41,2023-04-05 17:13:20.782496,ID0007,4
FFB00121,food23,2023-04-21 04:45:41.782496,ID0055,1
FFB00215,food10,2023-04-19 15:14:39.782496,ID0099,3
FFB00283,food12,2023-04-01 03:34:03.782496,ID0063,1
FFB00382,food08,2023-04-10 01:56:13.782496,ID0053,1
FFB00265,food13,2023-04-23 02:09:26.782496,ID0074,2
FFB00326,food43,2023-04-18 12:06:05.782496,ID0034,5
FFB00123,food42,2023-04-18 19:36:45.782496,ID0068,3
FFB00053,food40,2023-04-06 20:47:24.782496,ID0076,1
FFB00170,food29,2023-04-09 01:57:19.782496,ID0001,3
FFB00339,food21,2023-03-28 01:28:00.782496,ID0084,1
FFB00343,food17,2023-04-19 12:28:04.782496,ID0025,5
FFB00283,food27,2023-04-03 17:27:31.782496,ID0031,4
FFB00494,food36,2023-04-09 01:05:57.782496,ID0016,2
FFB00023,food41,2023-04-08 14:18:06.782496,ID0018,3
FFB00132,food39,2023-04-19 17:37:05.782496,ID0098,4
FFB00096,food13,2023-03-28 10:49:33.782496,ID0053,4
FFB00094,food17,2023-04-14 23:15:58.782496,ID0001,4
FFB00040,food10,2023-04-20 08:34:16.782496,ID0009,4
FFB00046,food07,2023-04-16 19:18:28.782496,ID0016,4
FFB00307,food12,2023-03-27 01:14:36.782496,ID0023,4
FFB00419,food31,2023-04-01 02:02:31.782496,ID0046,3
FFB00428,food06,2023-03-27 12:06:59.782496,ID0080,4
FFB00307,food03,2023-03-29 00:32:10.782496,ID0077,3
FFB00339,food23,2023-04-10 23:43:59.782496,ID0087,2
FFB00354,food13,2023-04-07 18:24:13.782496,ID0047,5
FFB00488,food37,2023-04-04 20:47:57.782496,ID0017,1
FFB00083,food27,2023-04-16 19:08:23.782496,ID0018,1
FFB00466,food03,2023-04-02 18:35:03.782496,ID0065,5
FFB00348,food41,2023-04-01 04:23:38.782496,ID0098,2
FFB00046,food15,2023-04-02 00:08:24.782496,ID0090,4
FFB00472,food19,2023-03-30 20:08:07.782496,ID0082,3
FFB00311,food30,2023-03-26 11:35:05.782496,ID0095,4
FFB00474,food44,2023-04-17 17:41:53.782496,ID0050,5
FFB00159,food22,2023-04-04 15:27:24.782496,ID0031,3
FFB00162,food18,2023-04-18 07:08:41.782496,ID0004,4
FFB00097,food37,2023-04-19 20:59:54.782496,ID0031,5
FFB00031,food45,2023-04-03 02:53:16.782496,ID0046,3
FFB00268,food08,2023-03-25 11:12:30.782496,ID0085,1
FFB00393,food06,2023-03-28 17:10:00.782496,ID0011,5
FFB00446,food23,2023-04-15 15:31:20.782496,ID0020,4
FFB00259,food36,2023-03-27 15:34:05.782496,ID0088,1
FFB00047,food05,2023-03-27 01:17:03.782496,ID0059,1
FFB00256,food19,2023-03-27 06:27:57.782496,ID0091,5
FFB00174,food30,2023-03-24 20:46:54.782496,ID0033,2
FFB00320,food41,2023-04-16 07:08:49.782496,ID0057,2
FFB00363,food45,2023-04-05 15:01:45.782496,ID0019,4
FFB00180,food16,2023-04-15 04:41:01.782496,ID0036,3
FFB00486,food02,2023-04-19 08:45:48.782496,ID0062,1
FFB00382,food34,2023-03-30 03:30:39.782496,ID0050,2
FFB00101,food09,2023-03-30 23:05:21.782496,ID0029,2
FFB00088,food29,2023-04-20 00:05:37.782496,ID0061,4
FFB00144,food26,2023-03-26 16:47:33.782496,ID0075,2
FFB00418,food35,2023-04-20 05:20:59.782496,ID0044,2
FFB00337,food32,2023-04-01 06:15:26.782496,ID0034,2
FFB00164,food05,2023-04-22 04:00:01.782496,ID0055,4
FFB00443,food44,2023-04-03 08:46:11.782496,ID0048,2
FFB00077,food01,2023-04-24 05:41:13.782496,ID0014,5
FFB00428,food34,2023-04-07 14:20:07.782496,ID0011,5
FFB00255,food35,2023-04-01 10:00:21.782496,ID0046,4
FFB00185,food07,2023-04-08 17:24:16.782496,ID0051,1
FFB00077,food28,2023-04-07 15:31:04.782496,ID0049,3
FFB00411,food12,2023-03-28 21:35:18.782496,ID0070,3
FFB00335,food06,2023-04-15 02:33:35.782496,ID0026,2
FFB00254,food28,2023-04-01 17:54:48.782496,ID0054,4
FFB00057,food11,2023-04-15 02:45:50.782496,ID0056,1
FFB00071,food10,2023-04-20 13:09:02.782496,ID0052,2
FFB00049,food24,2023-04-19 08:44:22.782496,ID0049,3
FFB00288,food35,2023-04-07 16:53:04.782496,ID0079,2
FFB00355,food04,2023-04-19 09:30:49.782496,ID0065,3
FFB00025,food32,2023-04-18 00:14:08.782496,ID0009,1
FFB00490,food14,2023-04-12 07:48:19.782496,ID0099,2
FFB00199,food33,2023-03-29 22:56:37.782496,ID0080,3
FFB00282,food22,2023-03-29 14:56:02.782496,ID0021,5
FFB00089,food25,2023-03-26 06:17:48.782496,ID0097,3
FFB00485,food08,2023-04-02 07:27:37.782496,ID0023,1
FFB00152,food15,2023-04-20 02:36:42.782496,ID0076,4
FFB00409,food01,2023-04-15 07:42:25.782496,ID0067,5
FFB00101,food33,2023-03-26 08:18:59.782496,ID0066,1
FFB00019,food31,2023-04-04 01:52:57.782496,ID0089,3
FFB00239,food08,2023-04-22 17:39:40.782496,ID0100,5
FFB00329,food24,2023-04-10 14:21:23.782496,ID0076,5
FFB00077,food12,2023-03-25 16:09:36.782496,ID0016,4
FFB00361,food31,2023-03-24 22:12:31.782496,ID0097,1
FFB00140,food06,2023-04-06 21:00:21.782496,ID0059,3
FFB00106,food18,2023-04-08 20:54:51.782496,ID0038,5
FFB00034,food09,2023-03-25 02:02:40.782496,ID0028,2
FFB00054,food16,2023-04-12 22:54:28.782496,ID0048,1
FFB00307,food38,2023-04-12 00:33:06.782496,ID0007,1
FFB00380,food36,2023-04-04 18:33:42.782496,ID0096,3
FFB00128,food21,2023-04-16 03:19:19.782496,ID0016,5
FFB00400,food19,2023-04-17 15:26:30.782496,ID0029,3
FFB00343,food13,2023-04-15 04:40:15.782496,ID0007,2
FFB00360,food25,2023-04-12 18:28:03.782496,ID0068,1
FFB00257,food38,2023-04-07 15:29:24.782496,ID0063,2
FFB00012,food08,2023-04-06 03:22:26.782496,ID0030,4
FFB00040,food21,2023-04-03 23:33:09.782496,ID0070,1
FFB00096,food24,2023-04-02 10:44:53.782496,ID0033,1
FFB00163,food16,2023-04-16 02:15:37.782496,ID0068,1
FFB00179,food24,2023-03-25 09:14:43.782496,ID0019,2
FFB00091,food33,2023-03-30 09:58:01.782496,ID0062,4
FFB00473,food16,2023-04-07 20:01:25.782496,ID0017,1
FFB00342,food32,2023-04-13 06:28:53.782496,ID0028,4
FFB00259,food10,2023-04-05 20:06:33.782496,ID0068,1
FFB00168,food03,2023-04-06 17:51:44.782496,ID0079,2
FFB00288,food23,2023-04-01 07:35:32.782496,ID0058,3
FFB00029,food43,2023-04-12 01:08:16.782496,ID0079,4
FFB00494,food20,2023-04-07 17:19:40.782496,ID0061,3
FFB00073,food36,2023-03-28 15:32:20.782496,ID0093,1
FFB00495,food21,2023-04-04 03:22:13.782496,ID0042,2
FFB00162,food25,2023-04-14 14:10:46.782496,ID0061,2
FFB00338,food24,2023-03-24 12:42:07.782496,ID0026,5
FFB00456,food39,2023-04-18 23:39:32.782496,ID0019,2
FFB00023,food03,2023-04-16 19:18:08.782496,ID0098,2
FFB00353,food44,2023-03-28 20:52:53.782496,ID0081,4
FFB00466,food08,2023-04-20 10:43:57.782496,ID0040,2
FFB00285,food39,2023-04-01 16:08:55.782496,ID0042,2
FFB00306,food40,2023-04-16 08:38:15.782496,ID0050,5
FFB00495,food19,2023-03-28 15:18:33.782496,ID0029,4
FFB00003,food02,2023-04-18 06:56:26.782496,ID0071,2
FFB00410,food08,2023-03-26 09:08:36.782496,ID0032,5
FFB00414,food11,2023-04-16 01:07:45.782496,ID0071,2
FFB00403,food11,2023-03-29 03:02:52.782496,ID0074,3
FFB00302,food40,2023-03-28 23:50:40.782496,ID0066,2
FFB00388,food22,2023-04-24 04:24:39.782496,ID0030,3
FFB00489,food41,2023-03-31 19:33:49.782496,ID0021,2
FFB00219,food20,2023-04-20 00:05:13.782496,ID0007,4
FFB00410,food27,2023-04-14 09:42:33.782496,ID0040,3
FFB00142,food36,2023-03-30 22:49:23.782496,ID0025,1
FFB00354,food41,2023-04-04 11:09:18.782496,ID0077,3
FFB00344,food34,2023-03-28 09:50:59.782496,ID0004,4
FFB00254,food20,2023-03-24 17:54:42.782496,ID0091,2
FFB00327,food39,2023-03-26 14:28:02.782496,ID0043,1
FFB00358,food09,2023-03-27 07:14:39.782496,ID0092,2
FFB00117,food17,2023-04-09 01:37:17.782496,ID0050,4
FFB00001,food19,2023-03-31 22:23:56.782496,ID0095,5
FFB00134,food02,2023-04-13 20:10:28.782496,ID0091,2
FFB00489,food30,2023-03-26 11:49:44.782496,ID0038,1
FFB00114,food45,2023-03-31 08:48:57.782496,ID0056,3
FFB00425,food43,2023-04-04 22:13:55.782496,ID0092,1
FFB00396,food06,2023-03-27 02:48:47.782496,ID0097,4
FFB00301,food19,2023-03-25 10:47:14.782496,ID0041,2
FFB00413,food03,2023-04-02 22:53:49.782496,ID0049,3
FFB00016,food08,2023-03-25 22:39:32.782496,ID0014,3
FFB00171,food34,2023-04-21 01:25:56.782496,ID0093,5
FFB00338,food08,2023-04-17 22:57:17.782496,ID0016,3
FFB00354,food44,2023-04-10 16:44:47.782496,ID0017,2
FFB00430,food43,2023-04-19 13:44:43.782496,ID0044,3
FFB00156,food09,2023-04-06 09:51:41.782496,ID0100,5
FFB00280,food01,2023-03-27 04:16:29.782496,ID0016,3
FFB00496,food36,2023-04-24 01:15:08.782496,ID0024,3
FFB00488,food33,2023-04-21 02:33:38.782496,ID0047,4
FFB00247,food32,2023-04-06 14:51:40.782496,ID0022,3
FFB00264,food14,2023-04-20 03:55:46.782496,ID0036,4
FFB00096,food22,2023-03-29 20:21:55.782496,ID0047,1
FFB00196,food04,2023-04-18 17:21:24.782496,ID0009,5
FFB00484,food26,2023-04-17 11:54:53.782496,ID0061,5
FFB00418,food34,2023-04-23 01:15:47.782496,ID0029,3
FFB00402,food02,2023-04-11 08:57:57.782496,ID0062,3
FFB00188,food06,2023-04-16 17:24:29.782496,ID0097,3
FFB00494,food30,2023-04-13 03:52:09.782496,ID0038,4
FFB00154,food37,2023-04-21 07:22:02.782496,ID0041,2
FFB00094,food40,2023-03-24 22:13:35.782496,ID0041,5
FFB00374,food36,2023-04-02 17:49:24.782496,ID0032,5
FFB00087,food29,2023-04-21 13:25:08.782496,ID0058,5
FFB00196,food42,2023-04-21 12:26:40.782496,ID0090,3
FFB00030,food06,2023-04-23 06:37:22.782496,ID0022,1
FFB00131,food04,2023-04-15 19:00:56.782496,ID0035,4
FFB00310,food21,2023-04-22 18:42:24.782496,ID0054,1
FFB00123,food25,2023-04-22 16:27:04.782496,ID0019,1
FFB00097,food01,2023-04-01 04:21:47.782496,ID0002,2
FFB00131,food28,2023-04-08 07:52:30.782496,ID0044,1
FFB00329,food43,2023-03-25 10:46:41.782496,ID0078,1
FFB00399,food42,2023-04-05 10:49:23.782496,ID0077,4
FFB00190,food10,2023-03-31 21:33:33.782496,ID0080,2
FFB00272,food43,2023-04-07 04:29:05.782496,ID0074,5
FFB00389,food38,2023-04-05 09:55:18.782496,ID0052,5
FFB00223,food12,2023-03-28 15:55:43.782496,ID0034,2
FFB00402,food33,2023-04-12 17:05:05.782496,ID0015,4
FFB00449,food39,2023-04-20 04:15:46.782496,ID0056,3
FFB00304,food28,2023-03-25 16:34:14.782496,ID0083,1
FFB00034,food17,2023-04-05 06:36:53.782496,ID0017,1
FFB00086,food27,2023-04-14 02:05:05.782496,ID0074,4
FFB00224,food14,2023-03-26 05:45:17.782496,ID0071,5
FFB00007,food02,2023-04-07 02:30:16.782496,ID0010,4
FFB00255,food34,2023-03-29 17:02:38.782496,ID0009,1
FFB00446,food28,2023-04-06 17:07:12.782496,ID0050,3
FFB00403,food38,2023-04-15 12:06:53.782496,ID0087,4
FFB00121,food32,2023-04-19 04:46:29.782496,ID0048,4
FFB00038,food15,2023-04-10 01:28:01.782496,ID0089,5
FFB00063,food03,2023-04-18 18:09:50.782496,ID0039,2
FFB00149,food11,2023-04-11 17:25:46.782496,ID0009,5
FFB00417,food12,2023-04-16 08:57:53.782496,ID0079,4
FFB00398,food03,2023-04-21 00:42:41.782496,ID0050,4
FFB00346,food19,2023-04-03 16:00:57.782496,ID0004,5
FFB00406,food35,2023-03-26 04:23:09.782496,ID0048,4
